Last updated 09 February,,,,,,,,,,,,,,,,,,,,,
,Team Capability,,,,,,,,Location,,,,,,,,,,,,
Supplier,Performance Analysis and Data ,Security,Service delivery,Software Development,Support and Operations,Testing and Auditing,User Experience and Design,User research,"No specific region, they can work remotely",Scotland,North East England,North West England,Yorkshire and the Humber,East Midlands,West Midlands,East of England,Wales,London,South East England,South West England,Northern Ireland
Ethical Healthcare Consulting C.I.C.,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Fusion Business Solutions,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hex Security Limited,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Mallon Technology Ltd,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ActiveIS Ltd.,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Incremental Group,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Software Solved,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Certeco Ltd,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
DISRUPTIVE-AGILE LTD,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Hewlett Packard Enterprise,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
IDE International,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Harbour Technology Limited,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no
Kudu Consultancy,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes,yes,yes,no
The SEO Works,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
INET,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Mobile Edge UK,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Clinical Architecture,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Mediawork (UK) Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
GovNow Ltd.,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Passive Management Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes
Zone Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cognitiv+  - Compliance / Legal / Privacy :: Automated,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Simplymoose Limited,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Professional Programme Management Limited,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Anzo LLP,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Perago-Wales,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
TheAppBuilder Ltd,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Populo Consulting Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Yoh Solutions Ltd,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Mthree Cyber Consulting Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Field Dynamics,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Influxe Limited,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no
Expede IT Solutions Limited,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Polarpoint,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
Blue Pelican Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Soho Strategy,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Source Group,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Olive Jar Digital,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
EngineerBetter,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no
SyntheSys,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Digital Workplace Group,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hays Project Solutions,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Evri Insight Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Codec DSS LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Userproof Ltd,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ubiquitis Ltd,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no
Intuitive Software Design Ltd,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
Simon Elliott,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Sensemakery Limited,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
Greater Heights Ltd,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no
Surface Impression Ltd,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
CyberTrack Consultancy Services,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Allot Limited,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
HeadChannel Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
BDQ,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SYNVIO,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no
cloudThing Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Mercato Solutions,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Big Web Creations,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Santriya Technologies,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no
Spotlight Data,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no
Cruise Technologies Limited,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes
Platform Group Ltd,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Involved Solutions,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Barclay Anderson Limited,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
Deep Sky Blue,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,no
Cyber Security Partnership LLP,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no
Convivio,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Simple Tech Results Ltd,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Civic Vision,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Torched Ltd,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Kagool,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
FutureProof,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
i32 Consulting Ltd,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Allen Lane Consultancy Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Basis,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
JRM CONSULT,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Yoomee,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no
Spinflight,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no
EAS Ltd,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
EDGE ITBS,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
KBR UK,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Maze Media,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no
Doc-Works Ltd,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Clueful Media Ltd,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
OryxAlign,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Three Tier,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
LOC Consulting Ltd (iBe),yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Arrow Project Management (ArrowPM),no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Meister.works,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
CBSbutler (Acting as an employment agency),no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Novoda,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Secure Source Limited,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
TAAHB Limited,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no
DigitalXRAID Ltd.,no,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Itineris - Making Digital Deliver,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no
Design Culture Associates,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
Webwoods Digital,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Liv Systems,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Joylab Service Design & Innovation,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Agile Recruitment,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Creotec Limited,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Episteme,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Pewit Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Articuler Consulting Limited,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Alliants,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Wisereach,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Mercurial Phoenix,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Monitor IS,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Rational Commerce - Ingres Experts,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes
TC-IT,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
iPACT Limited,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Woven Code Limited,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no
Shearwell Data Ltd,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
Valeda,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no
datalanguage,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Amdaris,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
UI Centric,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
HiveMind Network Limited,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"SearchBlox Software, Inc.",no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
BetterGov,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
max20 Limited,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Normally,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
MadebyMint Ltd,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Extent Ltd,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
ATEQ Consulting Ltd,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no
Marged Cother - Digital consulting services,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no
Integral Enterprise Solutions Ltd,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Whitehat Analytics,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Quiits Consulting Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
DocSafe Limited,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Electric Putty Digital,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ortera Limited,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
DotLabel  - Creative Digital Agency,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Michael Carder Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Designppl Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Fabrique,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Issured Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ALS Technologies Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no
Global App Testing,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
AdRoc Group,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Mars Spiders,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Strategy BI,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Bright & Matt Ltd,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no
The Shop,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Snap Lab Ltd,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
MapSourced Limited,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Mace & Menter,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no
Eccella,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
YouTrigger Ltd,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cloud4 Computers Ltd,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Web Consultancy,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
ISB Global Limited,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Medical Data Solutions and Services LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Adaptavist.com Limited,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Pemari Consulting,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Endava (UK) Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Account-Ability Ltd,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
CYBER EXECS,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Integrator Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
ZPB Ltd,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Atlas Computer Systems Limited,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no
Aoife Ní Mhóráin (Eefah Ltd),no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Data Flock Limited,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
TS Technologies Limited,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Pragmatic Web,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Bolus Consulting Limited,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
John White PM Ltd,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Right Foot Limited,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Amazic,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ExquisIT ltd,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
PT Consultancy Services Ltd,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
The Edge Picture Company,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Appius,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Aleph Insights Limited,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Turnkey Computer Technology Ltd,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no
Rescon Technologies,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2i Testing,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Unique Digital Marketing Ltd,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
David Bruce Recruitment Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
DIONA (UK) LIMITED,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
IGCS Limited,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no
ITG - Inspired Thinking Group,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no
Movint Technologies,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Boeing Defence UK Ltd,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no
Apptimized,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cyberpulse limited,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Aiimi Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Net Efficiency LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ahmex Consulting,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Armakuni Limited,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ideas Made,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
MK Front End Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
MKR IT Services Ltd,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Acuvate Software,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Byte Me Ltd,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Computer Direct Ltd,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no
Big Bite Creative Ltd,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Search Johnston (t/a Taxonomics),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Blackarts,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
BridgeWorx Ltd,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Yard,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no
Consultation Solution Ltd,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Revive Management,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Newt Idea,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Springer Technology Limited,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Factory Internet Ltd,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
Tangent,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no
